City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kodiak,US,2022-10-25 02:11:56,57.79,-152.4072,45.91,53,0,18.41
1,Hobart,AU,2022-10-25 02:16:47,-42.8794,147.3294,60.66,96,100,6.91
2,Colac,AU,2022-10-25 02:16:47,-38.3333,143.5833,68.16,89,99,4.97
3,Vaini,TO,2022-10-25 02:16:47,-21.2,-175.2,77.16,57,20,12.66
4,Arraial Do Cabo,BR,2022-10-25 02:16:48,-22.9661,-42.0278,71.62,86,100,6.8
5,Ambovombe,MG,2022-10-25 02:16:48,-25.1667,46.0833,68.27,91,57,3.15
6,Port Augusta,AU,2022-10-25 02:16:48,-32.5,137.7667,70.83,47,15,7.61
7,Chuy,UY,2022-10-25 02:16:49,-33.6971,-53.4616,55.4,93,2,6.33
8,Mahebourg,MU,2022-10-25 02:16:49,-20.4081,57.7,71.26,83,75,3.44
9,Padang,ID,2022-10-25 02:16:49,-0.9492,100.3543,75.25,81,100,1.41
